position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
114,114,2007,Australia,Copper,"Townsville, Queensland","Townsville copper refinery",Plant,"20° 40'  S","146° 53'  E",-19.33,146.89,F,,"Xstrata plc","Xstrata plc, 100%",,Active,300,"thousand metric tons per year",,847
115,115,2007,Australia,Copper,"Mount Isa, Queensland","Mount Isa copper smelter",Plant,"21° 16'  S","139° 29'  E",-20.73,139.49,F,,"Xstrata plc","Xstrata plc, 100%",,Active,250,"thousand metric tons per year",,847
116,116,2007,Australia,Copper,"Roxby Downs, 80 kilometers north of Woomera, South Australia","Olympic Dam underground copper-silver-gold-uranium mine",Mine,"31° 32'  S","136° 53'  E",-30.46,136.88,F,U,"Olympic Dam Operations Pty. Ltd.","BHP Billiton Ltd., 100%",,Active,235,"thousand metric tons per year",,847
118,118,2007,Australia,Copper,"Mount Isa, Queensland","Mount Isa underground copper-lead-zinc-silver mine (also includes Enterprise, George Fisher and Hilton  mines)",Mine,"21° 16'  S","139° 29'  E",-20.73,139.49,F,U,"Xstrata plc","Xstrata plc, 100%",,Active,190,"thousand metric tons per year",,847
119,119,2007,Australia,Copper,"Port Kembla, New South Wales","Port Kembla copper refinery",Plant,"35° 31'  S","150° 55'  E",-34.48,150.91,F,,"Furukawa Co. Ltd.","Furukawa Co. Ltd., 52.5%;","Nittetsu Mining Co., 20%; Nissho Iwai Corp., 17.5%; Itochu Corp., 10%",Active,120,"thousand metric tons per year",,847
121,121,2007,Australia,Copper,"35 kilometers northeast of Cloncurry, Queensland","Ernest Henry open pit copper-gold mine",Mine,"21° 34'  S","140° 43'  E",-20.43,140.72,F,S,"Xstrata plc","Xstrata plc, 100%",,Active,115,"thousand metric tons per year",,847
122,122,2007,Australia,Copper,"30 kilometers north of Parkes, New South Wales","Northparkes open pit/underground copper-gold mine",Mine,"33° 05'  S","148° 03'  E",-32.91,148.05,F,"S,U","Rio Tinto Ltd.","Rio Tinto Ltd., 80%","Sumitomo Metal Mining Oceania Pty. Ltd., 13.3%; SC Mineral Resources Pty. Ltd., 6.7%",Active,90,"thousand metric tons per year",,847
123,123,2007,Australia,Copper,"60 kilometers southeast of Cloncurry, Queensland","Eloise underground copper mine",Mine,"21° 03'  S","140° 59'  E",-20.95,140.98,F,U,"Barminco Ply Ltd.","Barminco Ply Ltd., 100%",,Active,70,"thousand metric tons per year",,847
124,124,2007,Australia,Copper,"Roxby Downs, 80 kilometers north of Woomera, South Australia","Olympic Dam copper smelter",Plant,"31° 32'  S","136° 53'  E",-30.46,136.88,F,,"Olympic Dam Operations Pty. Ltd.","BHP Billiton Ltd., 100%",,Active,70,"thousand metric tons per year",,847
125,125,2007,Australia,Copper,"120 kilometers north of Mount Isa, Queensland","Mount Gordon open pit copper (SW-EX) mine (Mammoth)",Mine,"20° 18'  S","139° 22'  E",-19.7,139.36,F,S,"Aditya Birla Minerals Ltd.","Aditya Birla Minerals Ltd., 100%",,Active,50,"thousand metric tons per year",,847
