dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10304134,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10304134",W701538,4520000032,Abakan,53.71443,91.43336,EU,Russia,,,M,Cobalt,,"Arsenic, Nickel",Unknown,,,Occurrence,,,,,,,,,,,"Wilburn, David R.",,,,,,,"SMIRNOV.  ORE DEPOSITS OF THE USSR.  1977.",,,,,,,,,D
10067531,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10067531",W000313,,"About 8 Mines and Prospects",34.00015,-85.41662,NA,"United States",Alabama,"Cherokee, Cleburne",M,Manganese,Cobalt,,Unknown,,N,Occurrence,Hollandite,,,,,,,,,,"Coury, Anny B.",,Quartzite,,,,,"PIERCE, W. G., 1944, U.S.G.S. BULL. 940-J, P. 265-285UNPUBLISHED CO-NI REPORTS",,,,,,,,,D
10111259,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111259",W029722,,Acoje,15.71673,120.06599,AS,Philippines,Zambales,,M,"Nickel, Chromium","Gold, Platinum, Palladium, Silver, Copper","Iron, Cobalt",Unknown,,Y,Producer,"Chalcopyrite, Chromite, Goethite, Gold, Hematite, Magnetite, Pentlandite, Pyrrhotite, Silver","Antigorite, Asbestos, Chlorite, Chrysotile, Garnierite, Tremolite",,"IRREGULAR, LENS",,,Serpentinization,"Liquid Magmatic Segregation (Paringit:) Hydrothermal Origin Of The Nickel Sulfide Deposits","Santa Cruz",,"Saam, Henning G., Orris, Greta J.","Sandstone, Fossiliferous Limestone;Ultrabasic Rocks","Gabbro,Peridotite,Dunite,Pyroxenite","Ultrabasic Rocks","Ultramafic Intrusive Rock,Peridotite,Dunite,Pyroxenite","Very Closely To A Basal Contact To The Ultramafic To Mafic Rock Mass. Gravity Fault Nw Trending",Ophiolite,"PARINGIT 1975: NICKEL SULFIDE DEPOSITS AND EXPLORATION WORKS AT ACOJE MINE;JOURNAL OF THE GEOL. SOC. OF THE PHILIPPINES, VOL.XXIX,SEPT.1975, NO.3BGR, JAN. 1978, ROHSTOFFWIRTSCHAFTLICHE LAENDERBERICHTE, PHILIPPINEN.DEYOUNG AND OTHERS, 1984, INTERNATIONAL STRATEGIC MINERALS INVENTORY SUMMARY REPORT-- CHROMIUM:  U.S. GEOLOGICAL SURVEY CIRCULAR 930-B, 41 P.PHILIPPINE BUREAU OF MINES AND GEO-SCIENCES, 1986, GEOLOGY AND MINERAL RESOURCES OF THE PHILIPPINES, VOLUME 2: MINERAL RESOURCES:  MANILA, PHILIPPINES, PHILIPPINE BUREAU OF MINES AND GEO-SCIENCES, 446 P.BROWN, B.C., 1972, MINERAL INDUSTRY OF THE PHILIPPINES:  1972 U.S. BUREAU OF MINES MINERALS YEARBOOK, P. 13.ENGINEERING AND MINING JOURNAL, 1976, INTERNATIONAL DIRECTORY, P. 269.IRVING, E.M., AND HULIN, C.D., 1950, POTENTIAL NI-PT MINE AT ACOJE, SANTA CRUZ, ZIMBALES:  PHILIPPINE GEOLOGY, V. 4, NO. 4.WEST, J.M., 1972, PLATINUM-GROUP METALS:  U.S. BUREAU OF MINES MINERALS YEARBOOK, VOL. 1, P. 1052.ROA, C., 1953, CHROMITE IN PHILIPPINES:  PHILIPPINE BUREAU OF MINES INFORMATION CIRCULAT NO. 15, P. 8.ISMIPHILIPPINE BUREAU OF MINES AND GEO-SCIENCES, 1986.DEYOUNG AND OTHERS, 1984; PHILIPPINE BUREAU OF MINES AND GEO-SCIENCES, 1986",,1935,,,,1950,,Hulin,A
10049067,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10049067",MX00284,,Adair,31.55012,-113.66742,NA,Mexico,Sonora,,B,"Sodium, Cobalt, Gypsum-Anhydrite",,,Unknown,,S,"Past Producer","Anhydrite, Gypsum",,,,,,,,,,"Staude, John-Mark G. (Page, Norman J.), Leonard, Kenneth R.",,Evaporite,,,,,"SALAS, GUILLERMO, 1973, LOS RECURSOS NATURALES NO RENOVABLES DE MEXICO: CONSEJO DE REC. NAT. NO RENOVABLES, BOLETIN 73, P. 84-85CIMRI",,,,,,,,,C
10207302,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207302",,4520000034,Adamovsk,50.84796,60.75121,EU,Russia,,,M,Cobalt,,,Unknown,,,Occurrence,,,,,,,,,,,"Wilburn, David R.",,,,,,,"SMIRNOV.  ORE DEPOSITS OF THE USSR.  1977.",,,,,,,,,D
10185658,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10185658",A012112,0021120006,"Adams Inlet",58.86783,-135.98819,NA,"United States",Alaska,,M,Copper,,Cobalt,Unknown,,,Occurrence,,,,,,,,,,,Wlg,,,,,,,"B800                 p. 300B926C                p. 178P632                 pp. 41-42, 73, 78, No. 5MF435OF78-374             p. 5OF78-494             pp. B52-B56, C350, plates 1A, 1B, 2OF81-122             p. 42, No. 11",,,,,,1929,,,C
10001371,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10001371",A012112,,"Adams Inlet Occurrence",58.86501,-135.98265,NA,"United States",Alaska,,M,Copper,Cobalt,"Molybdenum, Silver, Tin",Unknown,,N,Occurrence,Chalcopyrite,,,,,,,,,,"Leonard, Kenneth R. (Elliott, R. L.)",,Basalt,,Basalt,,,"USGS PP 632, P. 42USGS OFR 78-494, PLATE III, LOC. 85BAG-OFR-85-717-005",,,,,,,,,C
10104728,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10104728",TC05178,,Adelinda,-26.02249,-70.41482,SA,Chile,,,M,"Cobalt, Silver",,,Unknown,Vein,S,"Past Producer",,,,,Underground,,,,Descubridora-Goyene,,"Williams, William C.",,Andesite,,Andesite,,,"DIAZ, ET AL., 1980, MAPA METALOGENICO PRONOSTICO DE LA III REGION: CORPORACION DE FOMENTO DE LA PRODUCCION, SANTIAGO (5 VOLS.)CIMRI",,,,,,,,,C
10067538,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10067538",W000321,,"Admiralty-Alaska Gold",58.23724,-134.86035,NA,"United States",Alaska,,M,"Cobalt, Nickel",Copper,,Underground,,N,Prospect,"Chalcopyrite, Pentlandite, Pyrrhotite",,,,,,,,"Mertie Lode",,"Coury, Anny B., Causey, J. Douglas",,"Greenstone,Phyllite,Schist",,,,,"BUDDINGTON, A. F., 1926, USGS BULL. 783-B, P. 41-62REED, J. C., 1942, USGS BULL. 936-0, P. 351-361CORNWALL, H. R., 1966, USGS BULL. 1223, P. 37-38U. S. Bureau of Mines R.I. 3950.DMA/DMEA Docket No. 1856REED, J. C., 1942, USGS BULL. 936-O, P. 351-361",,,,,,,,,B
10000502,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000502",A010691,,"Admiralty-Alaska Mine",58.22752,-134.86591,NA,"United States",Alaska,,M,Gold,,"Lead, Zinc, Copper, Nickel, Cobalt",Unknown,,S,"Past Producer","Chalcopyrite, Galena, Gold, Pentlandite, Pyrrhotite, Sphalerite",Pyrite,,"TABULAR (VEIN)",Underground,,,,"Funter Bay, Mertie Lode","Cu-Ni-Co Mineralization Concentrated In Olivine-Hornblende Gabbro In Keel Of Gabbro Pipe","Elliott, R. L., Mosier, Dan",,Hornblendite,,Gabbro,,,"USGS OFR 78-374, P. 6-10USGS B 1155, P. 1-10ADGGS SPEC REPT 31, P. 46",<,1896,,,,1887,,,B
10008507,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008507",D000715,,"Afton area (vanadiferous zone)",42.71667,-110.78333,NA,"United States",Wyoming,Lincoln,B,"Phosphorus-Phosphates, Vanadium",,"Cobalt, Nickel, Cadmium, Titanium, Selenium, Molybdenum, Zinc",Unknown,,N,Occurrence,,,,,,,,,Phosphoria,,"Wilson, Anna B., King, Robert U.","Phosphoria Formation",Shale,,,,,"LOVE, J., 1961, VANADIUM AND ASSOCIATED ELEMENTS IN THE PHOSPHORIA FORMATION IN THE AFTON AREA, WESTERN WYOMING: USGS PROF. PAPER 424-C, p. 279-282.",,,,,,,,,D
10069384,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069384",W006875,,"Aghbar Cobalt Deposit Arhbar-Morocco",30.83293,-6.91502,AF,Morocco,,,M,Cobalt,,,Unknown,,Y,"Past Producer","Cobaltite, Erythrite, Heterogenite, Niccolite, Safflorite, Smaltite",,,,,,,"The Ore Is Found At The Junction Of Serpentine And Rhyolite. At A Depth Of 120 Feet, The Main Mass Extends Laterally For 1,000 Square Yards, But At Greater Depths The Iron Content Increases Considerably.","Arhbar Deposit",,"Shaffer, Glenn L.",,"Diorite,Schist,Gneiss,Serpentinite,Rhyolite,Granite",,,,,"ANDREWS, R.W., 1962, COBALT: OVERSEAS GEOLOGICAL SURVEYS, MINERAL RESOURCES DIVISION, LONDON, HER JAJESTY'S STATIONERY OFFICE, P. 143-",,1932,,,,1930,,,C
10084762,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10084762",W102203,,"Agiol Theodoroi",38.99884,22.93507,EU,Greece,,,M,Copper,"Cobalt, Lead",,Unknown,,N,Prospect,,"Calcite, Chlorite, Epidote, Quartz",,,,,,"Hydrothermal Process",Styrfakas,Tectonic,"Skounakis, Stelios",,,,,"Faulted Stratigraphic Unit, Massive,Veins And Disseminated Ore Deposit Mainly In Diabase",4,"SCOUNAKIS EV: THE METALLOGENY OF CU-BEARING PYRITE OF THE BASIC OPHIOLITIC ROCKS OF OTHRIS (DR.THESES IN GREEK)HYNES, J:THE GEOLOGY OF PART OF THE WESTERN OTHRI MOUNTAIN,GREECE (PH.D.THESIS, UNIV OF CAMBRIDGE",,,,,,,,Unrecorded,D
10024498,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10024498",ISM0218,,"Agnew Mine",-27.8129,120.69924,OC,Australia,"Western Australia",,M,"Nickel, Copper, Cobalt",,,Unknown,,Y,Producer,,,,,,,,,"Perseverance Deposit",,"Mock Colleen M","Perseverance Ultramafic Intrusion",Dunite,,,"Structural Embayments At Basal Contact Of Ultramafic Intrusion With Metasediments; Also Disseminated Within Intrus-Ion.","Arch Greenstone Belt","MARTIN, J.E., AND ALLCHURCH, P.D., 1975, PERSEVERANCE NICKEL DEPOSIT, AGNEW, IN KNIGHT, C.L., ED., ECONOMIC GEOLOG-Y OF AUSTRALIA AND PAPUA NEW GUINEA, V. 1, METALS:  AUSTRALASI-AN INSTITUTE OF MINING AND METALLURGY, MONOGRAPH 5, P. 149-155-.MARSTON, R.J., GROVES, D.I, HUDSON, D.R., AND ROSS, J.R., 1981, NICKEL SULFIDE DEPOSITS IN WESTERN AUSTRALIA--A RE-VIEW:  ECONOMIC GEOLOGY, V. 76, NO. 6, P. 1330-1363.MARSTON, R.J., 1984, NICKEL MINERALISATION IN WESTERN AUSTRALIA, MINERAL RESOURCES BULLETIN 14:  PERTH, GEOLOGICAL- SURVEY OF WESTERN AUSTRALIA.SELTRUST HOLDINGS LTD., ANNUAL REPORTS.WESTERN AUSTRALIA MINES DEPT. RETURNS.PA1-PA4:  RF4, RF5 PC1-PC4:  RF4, RF5",,1978,>,1982,,1971,,,B
10069212,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069212",W002717,,"Agnew Mine",-27.8129,120.69924,OC,Australia,"Western Australia",,M,Nickel,"Copper, Cobalt",PGE,Unknown,,M,Producer,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,"EN ECHELON SHOOTS",,"12: Dunitic Ni-Cu",,,,,"Orris, Greta J., Saam, Henning G., Blair, Will N., Foose, Michael P., Shaffer, Glenn L.",,Dunite,,"Ultramafic Intrusive Rock","In Wiluna - Norseman Trend","Archean Greenstone Belt, Yilgarn Block","METALS WEEK-METALS SOURCEBOOK 9/30/74 ITEM # B4401ENG. MINING JOUR. 8/73 P. 144ENG. MINING JOUR. 6/73 P. 282ENG. MINING JOUR. 9/72, P. 270.ENG. MINING JOUR. 6/72, P. 324.ENG. MINING JOUR. 5/72, P. 174.AM. MET. MKT., 4/28/72.ENG. MINING JOUR., 3/72.ENG. MINING JOUR., 9/71.AM. MET. MKT., 2/10/71.ENG. MINING JOUR., 7/72, P. 91.ENGINEERING AND MINING JOURNAL, 1977, AGNEW NICKEL:  MAY, 1977, P. 37.MINING MAGAZINE, 1975, JANUARY, P. 5.ENGINEERING AND MINING JOURNAL, 1975, FEBRUARY, P. 22.ENGINEERING AND MINING JOURNAL, 1975, JANUARY, P. 24.U.S. BUREAU OF MINES, 1974, MINERAL TRADE NOTES:  U.S. DEPT. OF INTERIOR 11/74, P. 13.THE MINING JOURNAL, 1974:  JULY 12, P. 36.THE MINING JOURNAL, 1975, SEPTEMBER 26, P. 233.MINING ENGINEERING, 1974, OCTOBER, P. 30.MINING MAGAZINE, JANUARY, 1989, P. 47.ISMI",,,,,,,,,B
