rec_id,value
20,galena
22,linnaeite
22,sphalerite
22,gold
22,marcasite
22,molybdenite
22,pentlandite
25,chalcopyrite
25,carrollite
25,covellite
26,chalcopyrite
26,carrollite
26,covellite
37,bornite
37,linnaeite
55,carrollite
55,tennantite
55,cobaltite
57,carrollite
61,carrollite
61,co-pentlandite
61,bornite
61,linnaeite
66,carrollite
77,"carrolite at baluba only"
88,galena
88,pyrite
90,pyrite
90,cuprite
90,malachite
90,"native copper"
92,covellite
92,neodigenite
92,galena
92,sphalerite
92,pyrrhotite
92,"native silver"
93,"native copper"
102,marcasite
102,sphalerite
102,renierite
102,enargite
102,scheelite
124,valleriite
124,molybdenite
124,vattikhenite
124,pyrrhotite
124,sphalerite
124,marcasite
124,tennantite
124,polydymite
124,cobaltite
124,stromeyerite
124,"nat. silver"
128,chalcopyrite
128,bornite
170,pyrite
170,marcasite
170,arsenopyrite
170,betekhtinite
170,dzhezkazganite
193,galena
215,sphalerite
215,pentlandite
215,violarite
215,smaltite
215,linnaeite
227,covellite
227,enargite
228,covellite
228,enargite
229,covellite
229,enargite
231,covellite
231,enargite
240,bornite
241,bornite
242,bornite
262,chalcopyrite
262,digenite
262,djurleite
262,pyrite
264,sphalerite
264,galena
264,wittichenite
264,carrolite
271,bornite
271,"native copper"
271,marcasite
271,pyrrhotite
271,mackinawite
272,chalcocite
272,bornite
272,galena
272,sphalerite
273,pentlandite
273,cobaltite
273,bismuth
273,bismuthinite
273,cubanite
273,"galena pyrite"
273,gold
273,silver
300,tennantite
300,arsenopyrite
300,enargite
300,stromeyerite
300,"native silver"
300,linnaeite
300,millerite
303,"native silver"
303,gold
303,platinum
303,palladium
303,thucolite
308,"native silver"
308,gold
308,platinum
308,palladium
308,thucolite
317,marcasite
317,tennantite
317,l
344,idaite
344,wittichenite
345,germanite
345,renierite
345,briarite
346,digenite
346,covellite
347,"u in organic material"
348,luzonite
348,enagite
348,delafossite
368,bornite
369,galena
370,chalcocite
374,chalcocite
393,pyrite
404,covellite
404,galena
404,tennantite
505,gold
732,"chalcopyrite has thin rims of possible carrolite. pyrite also cotains cobalt"
732,"up to 1 percent. ore is in four mantos"
745,stromeyerite
745,polybasite
745,"native silver"
753,bornite
753,covellite
753,chalcopyrite
753,galena
753,sphalerite
753,stromeyerite
753,"tennantite. chalcedony"
753,alunite
753,clay
755,galena
764,galena
766,malachite
766,chalcanthite
766,cuprite
767,chalcocite
767,chalcopyrite
767,covellite
767,pyrite
768,gold
779,chalcocite
783,chalcocite
783,azurite
