rec_id,value
1,chalcocite
1,malachite
3,chalcocite
3,malachite
4,chalcocite
4,malachite
5,chalcocite
5,malachite
6,chalcocite
6,malachite
13,malachite
13,azurite
13,chrysocolla
14,malachite
14,azurite
14,chrysocolla
16,malachite
16,azurite
16,chrysocolla
18,malachite
18,chrysocolla
18,chalcocite
20,chalcopyrite
20,bornite
20,covellite
20,tennantite
20,pyrite
20,arsenopyrite
22,chalcopyrite
22,pyrite
22,pyrrhotite
22,magnetite
24,chalcocite
24,bornite
25,chalcocite
25,bornite
25,carbon
26,chalcocite
26,bornite
26,carbon
27,chalcopyrite
27,bornite
27,chalcocite
27,pyrite
27,carrollite
27,carbon
29,chalcopyrite
29,bornite
29,chalcocite
29,pyrite
29,carrollite
29,carbon
33,chalcopyrite
33,"bornite pyrite"
33,digenite
33,chalcocite
33,carrollite
33,carbon
36,chrysocolla
37,chalcopyrite
38,bornite
38,chalcopyrite
38,chalcocite
38,carbon
44,chalcocite
44,bornite
44,albite
44,tourmaline
44,clay
46,chalcopyrite
46,pyrite
46,pyrrhotite
46,molybdenite
46,brannerite
46,monazite
49,chalcopyrite
49,bornite
50,chalcocite
50,"calcite gypsum"
50,pyrite
51,bornite
51,chalopyrite
51,chalcocite
54,bornite
54,chalcopyrite
54,chalcocite
54,carbon
55,chalcopyrite
55,bornite
57,bornite
57,chalcocite
57,chalcopyrite
61,chalcopyrite
61,pyrrhotite
61,pyrite
66,"bornite chalcopyrite"
66,chalcocite
68,chalcopyrite
68,bornite
68,co-pyrite
68,carrollite
68,linnaeite
75,chalcopyrite
75,bornite
75,chalcocite
75,carrollite
77,chalcocite
77,bornite
77,chalcopyrite
78,malachite
78,chalcocite
80,chalcocite
80,bornite
80,chalcopyrite
80,pyrite
80,hematite
81,chalcocite
81,bornite
81,chalcopyrite
81,pyrite
81,calcite
81,hematite
82,bornite
82,chalcopyrite
82,digenite
82,covellite
82,molybdenite
82,"galena sphalerite"
82,"native silver"
83,chalcocite
83,bornite
83,chalcopyrite
83,pyrite
83,hematite
85,chalcocite
85,bornite
85,chalcopyrite
85,hematite
86,chalcopyrite
86,chalcocite
86,graphite
87,chalcocite
87,bornite
87,chalcopyrite
88,chalcopyrite
88,bornite
88,chalcocite
90,chalcocite
90,bornite
90,chalcopyrite
90,covellite
90,digenite
90,hematite
90,calcite
90,anatase
92,chalcopyrite
92,bornite
92,pyrite
92,chalcocite
92,graphite
93,chalcopyrite
93,bornite
93,"chalcocite cuprite"
93,pyrite
102,djurleite
102,bornite
102,chalcopyrite
102,galena
103,chalcopyrite
103,pyrite
105,chalcocite
105,bornite
105,chalcopyrite
105,pyrite
105,"native copper in basalt"
108,malachite
108,bornite
108,chalcocite
108,covellite
112,malachite
