rec_id,value
1,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422"
2,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422."
2,"Habashi F. and Bassyouni, F.A., 1982, Mineral resources of the Arab countries: Quebec, Chemecon Publishing Ltd.,Laval Univ., 2nd Edition.112 p."
2,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
2,"Geological Survey of Canada Open File 2915b, 256 p."
3,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422"
4,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422"
5,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422"
6,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422"
7,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422"
8,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
8,"Geological Survey of Canada Open File 2915b, 256 p."
9,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
9,"Geological Survey of Canada Open File 2915b, 256 p."
10,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
10,"Geological Survey of Canada Open File 2915b, 256 p."
11,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
11,"Geological Survey of Canada Open File 2915b, 256 p."
12,"Chazan, W., and Fauvelet, E., 1962, Copper stratiform deposits in western Anti Atlas (Morocco) in Lombard, J. and Nicolini, P. Stratiform copper deposits in Africa, Part 1, Lithology and sedimentology: International GeologicCongress, 20th, Copenhagen,1960, p. 43-52."
12,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
12,"Geological Survey of Canada Open File 2915b, 256 p."
12,":"
13,"Habashi F. and Bassyouni, F.A., 1982, Mineral resources of the Arab countries: Quebec, Chemecon Publishing Ltd.,Laval Univ., 2nd Edition.112 p."
14,"Habashi F. and Bassyouni, F.A., 1982, Mineral resources of the Arab countries: Quebec, Chemecon Publishing Ltd.,Laval Univ., 2nd Edition.112 p."
15,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
15,"Geological Survey of Canada Open File 2915b, 256 p."
16,"Habashi F. and Bassyouni, F.A., 1982, Mineral resources of the Arab countries: Quebec, Chemecon Publishing Ltd.,Laval Univ., 2nd Edition.112 p."
17,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
17,"Geological Survey of Canada Open File 2915b, 256 p."
18,"Anon., 1987, Mineral resources of Mali: United Nations Development Program, DTDC MLI / 85 / 007 Project, 42 p."
19,"Anon., 1987, Mineral resources of Mali: United Nations Development Program, DTDC MLI / 85 / 007 Project, 42 p."
20,"Anon., 1987, Mineral resources of Mali: United Nations Development Program, DTDC MLI / 85 / 007 Project, 42 p."
21,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422"
