dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10281362,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10281362,,7660400029,Colline A and Kakifulwe,-10.70585,25.39025,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Surface-Underground,,,Prospect,,,,,,,,,,,"Boyle, Ed",,,,,,,"AGUIRRE, C.A., ZAMBIA-ZAIRE REPORT, UNPUBLISHED REPORT FORMAS SYSTEM, U.S.BU MINES, 1979.",,,,,,,,,D
10256244,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10256244,W029731,7660400001,DIMA,-10.74116,25.37523,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Surface,,,Producer,"Chalcocite, Chrysocolla, Covellite, Cuprite, Malachite, Digenite, Heterogenite, Carrollite",,,,Surface,197: Sediment-hosted Cu,,,"Dima, Dikuluwe/Mashamba Dima, Dikuluwe-MashambaDikuluwe/MashambaDikuluweMashamba",,"Orris, Greta J., Porter, Kenneth E., Saam, Henning G., Wilson, Anna B.",,"Quartzite,Shale,Dolomite",,,,,"ANON.  1974.  GEOLOGICAL BACKGROUND TO THE COPPER BEARING STRATA OF SOUTHERN SHABA (ZAIRE).  L. COHEN GISEMENTS STRATIFORMES ET PROVINCES CUPRIFIERS, LIEGE.  PP. 57-77.ANON.  1974.  STRATIGRAPHIE, TECTONIQUE ET MINERALISATIONS DANS L'ARC CUPRIFERE DU SHABA (REPUBLIQUE DU ZAIRE).A.  FRANCOIS CENTENAIRE DE LA SOCIETE GEOLOGIQUE DE BELGIQUE.  GISEMENTS STRATIFORMES ET PROVINCES CUPRIFERES, LIEGE.  PP. 79-101.ANON.  1979.  ZAIRE.  ENGINEERING AND MINING JOURNAL.  NOVEMBER.  PP. 188-206.DEMESMAEKER, G., FRANCOIS, A., OOSTERBOSCH, R.  1963.  LA TECTONIQUE DES GISEMENTS CUPRIFERES STRATIFORMES DU KATANGA.  IN:  LOMBARD, J., NICOLINI, P., ED., GISEMENTS STRATIFORMES DE CUIVRE EN AFRIQUE, 2E PARTIE, ASSOCIATION DES SERVICES GEOLOGIQUES AFRICAINS, PARIS.  PP. 47-115.GECAMINES ANNUAL REPORT.  1967-1978.PERSONAL COMMUNICATIONS.MINING MAGAZINE, 11/1975 P. 341.CROCKETT AND OTHERS, 1987, INTERNATIONAL STRATEGIC MINERALS INVENTORY SUMMARY REPORT-- COBALT: U.S. GEOLOGICAL SURVEY CIRCULAR 930-F, 54 P.WORLD MINING, 8/77 PP.46Jobin-Bevans, S., Lotriet, M.P., Heili, C., Meintjes, A., and Naismith, A., 2006, Technical Report for the Kamoto Copper Co. Kolwezi, Katanga Province, DRC, prepared for Katanga Mining Ltd. by McIntosh RSV LLC. [Available from sedar.com, Katanga Mining Limited, May 23, 2006, Technical Report(s)] http://www.investis.com/kat/operations/reportsoperational/kcc_techreport_06_06_23.pdfDixon, R., Simposya, V., Takolia, E., Waldeck, W., Salter, H., von Wielligh, A., Naismith, A., Cilliers, P., and McNeill, R., 2009, An Independent Technical Report on the Material Assets of Katanga Mining Limited, Katanga Province, Democratic Republic of Congo (""DRC""), prepared by SRK Consulting for Katanga Mining Ltd., 216 p., [http://www.investis.com/kat/operations/reportsoperational/techreport-mar09.pdf]   [available on sedar.com Technical Report March 31, 2009 for Katanga Mining Ltd., accessed 5/26/10]GECAMINES, 1975, ANNUAL REPORT",,1975,,,,1921,,,A
10400357,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400357,,,Disele,-10.75352,26.25399,AF,Congo (Kinshasa),Katanga,,,"Copper, Cobalt",,,Unknown,,,Prospect,,,,,,"201: Sediment-hosted Cu, reduced-facies (modified)",,,"Disele South, Kankeru, C19, Disele North, Diselle",,"Wilson, Anna B.",,,,,,,"Acheson, D., and Wheatley, C., 08/2007, Technical Report on the Boss Mining Project, Kakanda District, Katanga Province, DRC, prepared for Central African Mining and Exploration Plc by Behre Dolbear International Limited.",,,,,,,,,C
10400556,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400556,,,Etoile,-11.6354,27.5841,AF,Congo (Kinshasa),Katanga,,,Copper,Cobalt,Uranium,Surface,Sediment-hosted copper,,Past Producer,,,,,,"202: Sediment-hosted Cu, reduced-facies",,,"l'Etoile, Ruashi, Star of the Congo",,"Causey, J. Douglas","""R 2 - Mines Group, Roan Supergroup"", ""Mines Group, Roan Supergroup""",Shale,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,C
10280640,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10280640,,7660401004,(Facility) Luilu Copper Refinery,-10.74755,25.41805,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Processing Plant,,,Plant,,,,,,,,,Luitu,,Hunter,,,,,,,,,,,,,,,,E
10207824,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207824,,7660401036,(Facility) Luilu Smelter,-10.74755,25.41805,AF,Congo (Kinshasa),Katanga,,M,"Cobalt, Copper",,,Processing Plant,,,Plant,,,,,,,,,,,Zimbelman,,,,,,,,,,,,,,,,E
10256036,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10256036,,7660402001,(Facility) Shituru Copper Refinery,-10.96423,26.78464,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Processing Plant,,,Plant,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,E
10135052,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10135052,,7660401037,(Facility) Shituru Smelter,-10.96423,26.78464,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Processing Plant,,,Plant,,,,,,,,,,,Zimbelman,,,,,,,,,,,,,,,,E
10400558,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400558,,,Frontier,-12.7278,28.4745,AF,Congo (Kinshasa),Katanga,,,Copper,,Cobalt,Surface,Sediment-hosted copper,,Producer,"Chalcopyrite, Bornite",,,,,"200: Sediment-hosted Cu, Revett",,,Lufua,,"Causey, J. Douglas",Nguba Group of the Katangan Supergroup (Grand Conglomerate),Shale,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,D
10400559,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400559,,,Fwalu,-10.5807,26.155,AF,Congo (Kinshasa),Katanga,,,"Copper, Cobalt",,,Unknown,Sediment-hosted copper,,Prospect,,,,,,"202: Sediment-hosted Cu, reduced-facies",,,"Faulu, Fwualu, Kalifwafwaulu, Kavifwafwaulu",,"Causey, J. Douglas","Mines Sequence, Roan division of Katangan Supergroup (RAT, RSF, SDB, RSC, CMN, Dipeta)",Carbonate,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,D
