rec_id,depname,altname,includes,cntrycd,latdeg,latmin,latsec,londeg,lonmin,lonsec,oreton,cugrd,cogrd,aggrd,country,stprov,deptype,hostrock,rockunder,depage,agemy,rockover,assoctype,comments,geolunit,geolprov,latitude,longitude,cuton,continent
1,Mehirize,,,ALGR,33,50,50,0,-20,-30,,,,,Algeria,,"Redbed Cu","Green argillite, sandstone",Conglomerate,"Cretaceous, Lower Aptian",115,,,,,2053,33.8472222222222,-0.341666666666667,,AF
2,Tansrift,Tamarift,,MRCO,33,0,0,-4,-15,0,1,1.3,,,Morocco,,"Redbed Cu","Red sandstone",,Cretaceous,120,,,,,2061,33,-4.25,0.013,AF
3,Tiloula,,,ALGR,32,51,0,0,-27,0,,,,,Algeria,,"Redbed Cu","Green argillite, sandstone",Conglomerate,"Cretaceous, L.Aptian",115,,,,,2053,32.85,-0.45,,AF
4,"Djebel Djara",,,ALGR,32,50,0,0,-14,-30,,,,,Algeria,,"Redbed Cu","Green argillite, sandstone",Conglomerate,"Cretaceous, L.Aptian",115,,,,,2053,32.8333333333333,-0.241666666666667,,AF
5,"Garat Debba",,,ALGR,32,46,12,0,-40,0,,,,,Algeria,,"Redbed Cu","Green argillite, sandstone",Conglomerate,"Cretaceous, L.Aptian",115,,,,,2053,32.77,-0.666666666666667,,AF
6,"Ain Sefra",,,ALGR,32,45,0,0,-35,0,,,,,Algeria,,"Redbed Cu","Green argillite, sandstone",Conglomerate,"Cretaceous, L.Aptian",115,,,,,2053,32.75,-0.583333333333333,,AF
7,Merija,Meridja,,ALGR,31,30,,-2,-58,,,,,,Algeria,,"Redbed Cu","Conglomerate, white sandstone, siltstone",,Cretaceous,120,,,,,2058,31.5,-2.96666666666667,,AF
8,Argana,,,MRCO,30,47,0,-9,-6,0,,,,,Morocco,,"Redbed Cu","Red argillaceous sandstone, bleached",,Triassic,225,,,"Calcareous cement. Little or no organic matter",,2053,30.7833333333333,-9.1,,AF
9,Tirzzitt,,,MRCO,30,28,0,-7,-30,0,,,,,Morocco,,"Redbed Cu","Red and green sandstone and mudstone",,"U. Proterozoic",900,,,,,2061,30.4666666666667,-7.5,,AF
10,"Talat n Ouamane",,,MRCO,30,5,40,-8,-21,,3,1.5,,,Morocco,,"Reduced facies Cu",siltstone,,"U. Proterozoic",900,,,,,2061,30.0944444444444,-8.35,0.045,AF
11,Iminirfi,,,MRCO,30,3,45,-8,-24,-30,,,,,Morocco,,"Reduced facies Cu","Dolomite, limestone",,"U. Proterozoic",900,,,,,2061,30.0625,-8.40833333333333,,AF
12,Agoujgal,,,MRCO,29,23,,-9,-2,,0.8,1.7,,,Morocco,,Uncl.,Arkose,Siltstone,"U. Proterozoic",900,"Dolomite, gypsum",,,,2061,29.3833333333333,-9.03333333333333,0.0136,AF
13,"W Araba",,,EGPT,29,15,0,32,28,0,,,,,Egypt,,Uncl.,Sandstone,,Caboniferous,320,,,,,2036,29.25,32.4666666666667,,AF
14,"Sarabit Al Khadin",,,EGPT,28,58,,32,28,,,,,,Egypt,,Uncl.,"Sandstone, clay",,"L. Carboniferous",340,,,,,2033,28.9666666666667,32.4666666666667,,AF
15,"Adrar Ouanas",,,MRCO,28,16,0,-9,-14,0,,,,,Morocco,,"Reduced facies Cu","Dolomite, calcareous shale, mudstone",,"L. Cambrian",560,,,,,2061,28.2666666666667,-9.23333333333333,,AF
16,"Ras Banas",,,EGPT,23,59,,35,40,,,,,,Egypt,,Uncl.,Sandstone,,Miocene,12,,,,,2073,23.9833333333333,35.6666666666667,,AF
17,Agadez,,,NGRA,16,59,0,7,56,,,,,,Nigeria,,"Redbed Cu","Conglomerate, argillite, sandstone",,"L. Cretaceous",130,,,,,7066,16.9833333333333,7.93333333333333,,AF
18,Niami,,,MALI,15,10,,-9,-59,,,,,,Mali,,"Redbed Cu",Sandstone,,L.Cambrian,560,,,"Southwest of Nioro. Kiffa Series. Mineralized bed 0.3 to 8 m thick. Grade < 1% Cu",,7035,15.1666666666667,-9.98333333333333,,AF
19,Gangontery,,,MALI,14,5,0,-9,-45,0,,,,,Mali,,"Reduced facies Cu","Black shale",,L.Cambrian,560,,,"North of Bafoulabe, SE of Kayes. Kiffa Series. Mineralized bed severalcm thick. Grade 0.5% Cu",,7035,14.0833333333333,-9.75,,AF
20,Falea,,,MALI,12,16,0,-11,-21,0,,,,,Mali,,Uncl.,Sandstone,,"U. Proterozoic",900,,,"Kania Fm., Taoudeni Basin. Cu grades 1.46 to 4.7 %.",,7021,12.2666666666667,-11.35,,AF
21,"N' Toum",,,GABN,1,5,,9,59,,,,,,Gabon,,Uncl.,,,"Cretaceous, L.Aptian",115,,,,,7211,1.08333333333333,9.98333333333333,,AF
22,Kilembe,,,UGND,0,13,,30,3,,19.5,1.87,0.15,,Uganda,,Uncl.,"Meta dolomitic shale. Banded oligoclase-hornblende-biotite-epidote-quartz granulite","Meta dolomite. Fine-grained albite-pyroxine-amphibole-quartz-epidote rock","L. Proterozoic",2000,"Meta siliceous dolomite",,,,7246,0.216666666666667,30.05,0.36465,AF
23,Minduli,,"Mt Passa",CNGO,-4,-14,,15,14,,,,,,"Congo Brazzaville",,"Redbed Cu","Sandstone, shale",,Proterozoic,1500,,,,,,-4.23333333333333,15.2333333333333,,AF
24,Dikulushi,,,ZIRE,-9,-10,,28,15,,1.94,8.59,,266,"Democratic Republic of Congo",,"Reduced facies Cu","silstone, dolomite",,,,,,,,,-9.16666666666667,28.25,0.166646,AF
25,Tenke,,"Fwalu, Kwatebala, Goma",ZIRE,-10,-34,-48,26,9,12,195,3.3,0.37,,"Democratic Republic of Congo",,"Reduced facies Cu","Dolomitic, carbonaceous, pyritic shale and siltstone","Siliceous dolomite","U. Proterozoic",900,"Siliceous dolomite",,"Two ore beds with siliceous dolomite between.","Mines Group, Roan Supergroup",7246,-10.58,26.1533333333333,6.435,AF
26,Fungurume,,,ZIRE,-10,-36,,26,18,3,1370,2.68,0.3,,"Democratic Republic of Congo",,"Reduced facies Cu","Dolomitic, carbonaceous, pyritic shale and siltstone","Siliceous dolomite","U. Proterozoic",900,"Siliceous dolomite",,"Two ore beds with siliceous dolomite between","Mines Group, Roan Supergroup.",7246,-10.6,26.3008333333333,36.716,AF
